Places,Rating
"Baltimore, the United States",6
"Beijing, China",3
"Boston, the United States",5
"Cambridge, the United Kingdom",8
"Chengdu, China",5
"Chicago, the United States",6
"Chongqing, China",6
"Innsbruck, Austria",9
"Jackson Hole, the United States",8
"Jerusalem, Israel",9
"Katmandu, Nepal",5
"Kyoto, Japan",7
"London, the United Kingdom",7
"Los Angeles, the United States",8
"Miami, the United States",7
"Munich, Germany",7
"Nagoya, Japan",6
"Nara, Japan",7
"New York, the United States",7
"Osaka, Japan",6
"Philadelphia, the United States",5
"Guilin, China",7
"Pokhara, Nepal",6
"Redding, the United States",8
"Salzburg, Austria",8
"Shanghai, China",7
"Vienna, Austria",8
"Washington D,C., the United States",7
"Weifang, China",5
"Wuxi, China",7